label,text_processed,length
0,консультаціїмаксимумякий завтра отримати балівя пічалі,5
0,писати перш хотіти спілкуватися,4
1,нахуй впасти скотина,3
1,охуїваєш глухий чути,3
0,презумпція несвідоміст лівий рука правà прàва рука,7
1,заходити вечірка нєвєбєнності кількість,4
1,найкращий зробити обоссою відходити,4
1,зробити бляяяяяя повітряний битва відпустити парус,6
1,нахуяторія відбуватися гра́ти глупостей,4
1,підар,1
1,варта зробити друг пооооохєрився прибрати дім залишити,7
0,хотіти перейменувати профіль дієго армандо хуєста,6
0,народитися спарті спарті жінка скидати скинути,6
1,афігенсьхто мати хазяїн бар заборона відвідувати жінка,7
0,вчора вночі почати світло відклвкл кухня вода вкл стрімаюсь спати вдома,11
0,здаватися година шалено підтримати,4
0,метафора тупенька часом,3
0,вирішити ходити факультатив польський ібо справлятися дєрьмом,7
0,прийти момент мати вписуватися стрічка,5
0,карта конфлікт крутий гра хоть чорнуха знати хотіти дн,9
1,крапка ставити повний передача драматизму русня вмілий український вміти плач интелекта українською – інтелект ноль нуль своєі думка нуль хоть русня іди нахуй коротко,24
1,221 лох спати півгодини довший,5
0,зарекомендувал ліпший бік чужий тато мама непогано,7
1,уйобок,1
0,бог звиклий всеодно умнічка,4
0,енергія день заряджає ненависть живе,5
0,ого телеграма знати добрешо паливсь,5
0,хотіти збирати зошит школа звіт переписувати,6
0,момент старатися змінити мати,4
0,відповідь змогти озвучити скорі́ше,4
1,танути лох,2
1,уйобок поганий новини закрити,4
1,гімнастика поїбіть учасник,3
1,шо мудак что лє,4
1,піти нахуй уйобок,3
0,відмовитися кава забути шо скоро рівня,6
1,хотіти ефектно покласти трубка скайпу заглючив планшет лох господа довіряти вбивати,11
0,секрет остроумних твіттерських відкритий,4
0,дно Львів дожити,3
1,шкода вчорашній потік думка підмахата шо лох ше шось привод нема ідеальний аспект зовнішність,14
1,курвиська прогулянка знати провести,4
0,покликати заміж якшо секс втрьох чоловік,6
0,боліти лімфовузол мля сплошна каліка,5
1,жарт викупити сподіватися колишній мудак ображати,6
0,терпіти хвастається любити читати тупий шо,6
1,робити пан Петро випендрюєш ставати лапа,6
0,вдома день найкращий весна,4
0,монетка тротуар котитися монетка знайти,5
1,книжна шлюха вибачте,3
1,ахтижхитражопа найглупіша світ,3
0,ворог побажати відчути пляж іти робота,6
1,дивний річ бабуся посміхуйна продати зуб,6
1,1 іди нахуй взагалі говорити люди висипати,7
1,найобаніший хлопець світ приходити дівчина зникати поліція,7
0,Ярослав хотіти обіймати душевно,4
1,вйобуєш достатньо знайти щастя продажа морозива,6
1,метро чувак куртка прилипнути нитка турбувати дорога виходити вагон швидко зняти побігти подумати їбанута їбанута,15
1,блять вміння видалити невчасно згадати сказати іди нахуй,8
1,заїбашити представник меншість,3
1,мостигімний життя провал,3
1,дівчинкамудак,1
1,ділає лілбляд забарвити використовувати право мовний автономія,7
1,запізнитися потяг іф йобаний лох сорян,6
0,хелоуфранцузькачи правельно казати бонжур,4
1,повийобувал політик виборець повийобувати,4
0,наважитися дискримінант назвати вієта,4
0,фотографува́ти сміття фотографія побачити світ,5
1,хлопець мати найбільший лакшеріхуякшерію армійський десантник,6
1,блін хотіти відписацця погортала подивитися кіт іти нахуй,8
0,подумую купити окремий холодильник вина,5
1,вивідхрену жаліти мозок,3
0,головня зустріч випускник відбуватися басейн басейн Карл,7
0,світло світло розібратися сподіватися свято ніч допомогти,7
1,тролейбус сидіти няшкахлопець книга рука́ коротший лох боятися знайомитися,9
0,спробувати згадати педагогічний освіта відповідати терпляче гарантувати,7
0,повинен неформат випадок,3
0,бокали свічка дзиги хазяйстві пригодяця,5
1,дофіга люди закинути море,4
1,піти кухня покіпішувати лох заробити кава,6
0,пожежа ресторан Бельгія причина надто гарячий фрітюрниця,7
0,дівчата ма́ти народжувати діти запискиректор,5
0,дивноякі бабця тато протилежний характер,5
1,Інтерне́т мудак,2
1,ніченьку темний погожий днина новий препарат заїбись скотина,8
1,зїбеться батько пошукати пабі,4
1,хоть переворот попідвипідвертом йти нахуй,5
0,сезон мить глянути терер новий серія дочекатися,7
0,повірити потрібнамаксємальна трєзвость ума0,4
1,подобатися гімняріти друг красивий безглуздий,5
1,нахуятахатаха жінка подарунок чоловік зрозуміти відчуватися нахуй,7
1,зробити дружина бздить залишити забути,5
1,робити пиздунащвіл прочитати книга йти показувати пиздунащвіла,7
0,взяти персонаж книга уявляти візуально,5
0,– шутнік чесно – чесно,5
0,нінавіжжжу твіти знайти суші,4
0,твітеряни потроху прокидатися бажати добрий ранок,6
0,зберігати спокій відповіда́ти,3
1,накуплю цілий пачка хліб покушати непристойне накупи,7
1,сир шльондра,2
1,9 книга зустрічати нічо́го вагітна кішка 8 джоффрі однаково мудак малолітніймень старший ланністери подобатися,14
0,вечір лермонтовим закінчитися бабською книжка хороший закінчуватися,7
0,піти почитати збиратися паспортнити стіл,5
0,йти горілка коньяк написати,4
1,шлюха кістка полігамна,3
1,припізднувся чоловік знати досконалий любов,5
0,будильник зброя бігопролетаріат твіттербігає,4
0,пара місяць покидати відчуття ходити квартира,6
0,вечір україномовний музика кайфую живе концерт,6
0,сміятися писати дужечку поставити,4
1,гавновопрось знайти книга переходити гавна,5
1,пак підарас,2
1,приходити жидохвашистської країна припустити знати нормальний етика,7
0,нині спитати червень школа випускний,5
0,випадок американський ліберал сумнів дурість,5
1,шо педрило підар ммм ясно шо пояснити,7
0,прівєт залитий слюньками ноут00,4
1,813 бльо виходитьпрокинутися 11й робота май година йти нахуй всесвіт літній часом,12
0,добрий ранок вперше телефон показати сніжинку сніг 8,8
1,пара 8 лох біг похвально умніца,6
1,ахренолог прийти відділення поліція вбити поліцейський відповісти ахренологовав,8
0,9 субота піти бар васильківській,5
1,ніфіг робити,2
0,божички люди лівоправо плутати показувати,5
1,бк взагалі найгірший секс життя сука фільм зіпсувати уйобок,9
0,дата народження написати 30 березень,5
1,іди нахуй,2
1,залишитися педоросі випити лікарня абсолютно,5
1,виєбонів Україна вибратися країна,4
1,повинен зйобувати виявитися глупий,4
0,слухати канал такоє кратчі настрій очінь,6
0,нерухомість баланс ісп фірма висіти вказаний декларація,7
0,3 легко розчулити розплакатись банальний милий відео,7
0,матиму власний домівка чудовий художник,5
1,ахуєнніша худобинок гуля́ти парк плакати друг гучить,7
0,господа ше гном вчитися погрожувати,5
0,розуміти Шевченко тягти написати заповіт,5
1,йоманарот приїхати друг прийняти йоманарот напрочуд забруднений,7
0,шукати проїзний западло купити жетон метро кий понеділок,8
0,неправильно відлік вести писати 18 день пригода,7
1,ахуєєш жінка дурень камінь знати,5
0,суперечити традиційно більшість люди,4
1,ахуєнноахуєнно кіт давати свіжий мясо ахуєнноахуєнно,6
0,знайти пісня захід поцілувати,4
0,їсти заливати літрами кава хороший ідея,6
0,каждий каждий вечір втикаю відоси ютубі наступний день запізнююсь робота,10
1,погодка шепотати дімас доїдай мняско пиздуй лонг,7
0,слово книжка читати,3
0,капець прикиньте писати заборчиком існувати,5
0,вказувати причина,2
0,щастяколи піца ананасом нє всє паймут,6
1,йти нахуй,2
0,апостол читати склад нашо мама,5
1,написати церковний школа читати церковний шлюха сказати спасібо шо церковний першокурсниця,11
0,година твіа Одеса вбитий одесити триматися,6
1,поводитися люди меблі гнобиш щиро дивуватися ненавидіти браво неперевершений мудак,10
1,еххбідосяя сказавзахід гостя слухати музика поганий навушники відмовитися ідея їбанута,10
1,зожхуйож дурень,2
1,кончений мудак дивитися,3
0,стопа інформація Ігор луценка підтверджений рідний,6
0,дівчата проржали світшота україночкою сказати шо « дєцкий » оооок,10
0,жможе вміти правильно обіймати,4
0,купити солодкий вода смак колисиропу кашель,6
1,зробити зкурвиш алкоголь бар випєш море,6
1,думати бзділка погода дивний погода пристрасно відчуватися,7
0,вот виходити центр презентація Назар забігти,6
1,дохер покинути Україна робити,4
1,вийобистісти найкращий спосіб забути проблема поглянути друз,7
1,пизданем відпочивати пляж,3
0,любаша любця любов опача настуня мм,6
0,попит пропозиція народжувати,3
0,стала гармонія мама любити війна мир чергувати,7
1,ніхуяссе мати друз,3
0,легко помітити інстаграм працювати заходити день,6
0,Швеція трійка лідер саррян,4
0,чорний пасувати підкреслити риса лиця,5
1,« а колесо повідлітати » подумати мудак свєрх швидкість наїхати калюжа заляпав нога голова любити зиму0,16
0,кагби розумний достатньо щоб робити,5
0,четверправда постійно гризти,3
0,поганий настрій такииий,3
1,бляяять гроші витрачати алкоголь почати працювати бар,7
1,найохуєнніша бабуся закінчитися гроші,4
1,вітпиздилася,1
0,проект навчитися розуміти словацький мова говорити суксесс,7
0,сміятися жарт,2
0,контемп розказувати історія курс постановка бачити,6
0,телефон ляшка відповідати пост фейсбуці писати казати помічник,8
0,проміняла семінар піару франкомовний фільм сімю ірана шкодувати,8
1,афігіла походити лікар,3
0,світ Україна фоловера помогти морально підтримати,6
0,гарно памятаю трипільський кола 10х,5
0,ууу харашо бомонд бачити зібратися,5
0,моï респекти фанам хайдука ïх жменька співа́ти дати бог,9
0,змолотив 700 мент з ‘ їсти дві́сті редактор,8
1,мудак виїхати рейтарської червоний 3,5
0,графік стінка повішай шо тито член родина,7
1,нєвєбічєскі гроші дорога доступ добра,5
0,майстер згард подарувати продаватися Орест,5
0,забрало кокосове масло рафаелкою,4
1,моральний урод серйозно блять лєна розказувати їбано ситуація бік хуя вдруге,11
0,весна скоро рощесатись шапка зняти шуточка,6
0,пустота абсолютний алюзія лема,4
0,прогуляюсь майдан контрактову,3
0,приїхати додому доїла оселедець загризла редискою запила йогуртом ріскова,9
0,мілан зустріти дощ викликати убер приїхати ягуар Італія крихітко євроубер,10
1,підар,1
0,4 година просунутися питання магьом,5
0,приснитися сон пережити 10,4
0,нє женщіна нормальний їсти,4
0,стрічка неактивна прокидатися,3
0,хлопець виходити курити сапожкахдо добра довести,6
0,уявляти кінчати рот рже картіночко,5
0,яксь абідка леді птасю сподобатися фільм грету обожнюю,8
0,прокинутися 530 заснути жахливо,4
1,делає миломудацька прагнути курс мода дивитися старший бабуся,8
0,кінотеатр кий пахнути попкорном Харків,5
0,чого́ універі спирт тхнути хіміки корпус,6
1,робити жінка поганий зїбешом викидати,5
1,мудак принаймні надія зцілення хотіти вірити люди показувати бачити світ сподіватися побачити спосіб активізм запитувати зробити ната ната підняти планку,20
0,продовжіти твірш боятися заглядати Інтерне́т пишний ор сумний помийка,9
1,дибільне мудак,2
0,чувство тиждень живий 2к19,4
1,йти нахуй йдинахуйк,3
1,1711 підобіра кричати шлюха бачпв малолєтню мадєль,7
1,впрочєм іди нахуй,3
1,ахєрєн мати зробити залишити країна поїхати,6
0,побити приставити пушок віска кулак тримати яйце вкрасти телефон,9
1,біцепсихуїцепсихуєте зайнятися корисний,3
1,іди жопу,2
0,прочитати приємно канєшно знати самокритичність впертість,6
0,шось моргає козяїва,3
1,глянути батьків виглядати наахуєніша,4
1,всмислє марк шлюха прєкраснєнький альо,5
0,шо сумний текст шо несумні риторичний,6
0,розуміти підписаний люди точно читати,5
1,уйобок 13 азіву хуйовий Бучач Харків кернеспідарас – українець,9
1,нахєром виграти життя,3
0,окей гугл цілком серйозно пережити наступний місяць,7
1,обоє проспали лох ета судьба поїзд година,7
0,дівчина 26 працювати міліція мама купає душа,7
0,дивно бачити альону волосся голова,5
0,патті сміт постійно натикаюсь відсилки нормально,6
1,лох лохушка лошааарааа ©пісня власний виробництво співати,7
1,неплохо відійти життя неплоху,4
1,сусідка гуртожиток трансі висказувал їбанута знати шо дивитися кароч пізда,10
0,6та серія аутлендер божественний скзаати,5
1,точка зір апріорі абсурдний базуватися попередній досвід зважати вищесказаний правий йти нахуй,12
0,взагалі існувати тревор ноа важко зберігати вірність Джон оліверу 3,10
1,коментатор перемога 01 дк завалитися накаркаєш падлюка 3 хв пенальті ворота дк казати завалитися блятб динамо динамославія,17
1,дзідзьо контрабас виходити дзідзьо чекати дзідзьо підарас,7
0,передивитися термінатор 2 дивно найкращий частина погоня,7
1,виглядати друг обдрочена,3
1,лицемірство річ дратувати мудак сказати ніц поганий прикидатися хороший,9
0,ліза богуцька писати фури Крим пропускати місце домовлятися,8
1,чого́ сумний веселий їбанута малєнько,5
1,нафіга займатися щоб сповіщення повстати мертвий рт якшо долбйоб фав якшо мудак рт фав якшо мудайоб блаблабла,17
1,полюбити їбанута знайда дівка попрощє,5
0,нічо́го безпечний лишитися село хардкор,5
0,зламаний акаунту,2
1,нетакіхсруцків хотіти зробити дурний використати маленький собака,7
1,сказати тіпа підар рєдчайший саня сказати компанія добрий слово сказати,10
0,гєніна здати поітм шинобі балакати,5
0,починати заганяти гороскоп точно спати солоденьких,6
1,використовувати мудак казати знати припасти нервовий період життя понести,9
0,міжнародний економіка осввтній рівень магістр,5
1,іди нахуй кий любити залізничний вокзал « київпасажирський » 4176,10
0,прикольно чувак 2 рік старший виглядати таточко,7
0,успішно спродюсований проект пишатися,4
1,шарити мудак ненавидіти мудаки змушувати ненавидіти,6
1,– вірити бог Богдан бог світогляд – світогляд шо заїбав іди нахуй © отп,14
1,чмо втирати шо Адам гонтьє рокбог класик єбать зразу кидати татуху руця щоб сміти заперечувати,15
1,іти нахуй,2
1,придовбув мужик дружина новий зміна партнер,6
0,8 медичний журнал 3 кг макулатура 6 грн моєвперше,9
0,сказати підтримати вітчизняний виробник жах дорого,6
0,лад глянути стрічка тріпається,4
0,повсюдний освіжувач повітря запах роз,5
0,свято вдома зробити вивільнити простір ходжа насолоджуватися,7
1,гамнодави працювати люди насміхатися бездарністю,5
0,паходу консєрватор якшо прикрити фоточці кросі́вка лайк,7
1,ділає мудизм банк просити кредит закупівля бана́н,7
0,тричі стала свідок розборок алкашів цікавий життя сказати,8
1,вийобство жінка намага́тися брати участь політика добитися жінка,8
0,перш черга активно засуджувати присутній,5
0,гарний побажання дн мінятися підслухала,5
1,неєбац продавець відчувати зрада купувати дешевше плата дорожчий,8
0,своєчасний похвала личити друг осуд сковорода,6
0,пємо означати пємо коньяк,4
0,малий малий прихворіла око,4
1,виправдовувати цукера річ цукер мудак загрався загальновідомий факт,8
0,дати почитати меню шо прикидаєшся писемний,6
0,перетнути Дубно стопа Тернопіль святий криштофоре молитися,7
0,лишитися 15 хв король льва сердечко боліти,7
0,знайти́ лайв концерт зайти,4
1,підар,1
0,енвайронменталістові консюмериста зрозуміти,3
1,плешиве чмо великодній день перемога випендрюватись помолитися хлопців,8
1,цікаво читач помітити підстава написати стаття мудак садовий налаштував сміттєпереробка мер новіград соковія,13
1,ділає мізкоїбуча дівчина дивитися зоря надіятися побачити батько покинути маленький,10
0,офісній обстановка комфорт мотивує,4
0,пересадка здооол почекайпочекати Луцьк,4
1,хреново кіт обняти скотина вириватися,5
0,білетик циферками 666 підсказує сатана,5
1,недотріг дорога проходити плата,4
0,будьяки́й раз ма́ти жертва інет мемів,6
0,помирати обмороження,2
1,зробити дружина пердиць переймати пердицю,5
1,пиздуй,1
1,одінєчєство настілько приближеним масштаб всєлєнай наставати період євравідіня прошу друз знайомий подивитися компанія казати шо їбанута гавно дивитися дивитися,19
0,вчора волосся крапля роса іскрились каплі розтанути сніг зима Львів,10
1,друз запіздєли мати вдячний,4
1,вдягай балаклава підар 09,4
0,хотіти поговорити гарненький дівчинка Мирослава ла натякиви шо,8
0,совку 55 розвалюхи щирий правда німець 85 ставати,8
1,підпалювати сусід пятки чмо спати обнімку телефон ахуєнно,8
0,створити ліст котик додати людину3,5
1,йобнутий день,2
0,думати вихований шо думати,4
0,кіт мило тіскала цілий день,5
0,29 травень зняти думати жи́ти літо,6
0,випадково зустрічати однокласник жахливо виглядати,5
0,готувати справа цукор технологія приготування,5
0,обоже відповісти питання випадково любити зелений чай,7
0,настрій їхати додому варити варення,5
0,справжнє випробування бідний нерв вчити баба користуватися планшет,8
1,бляха легкий знаходження партнер,4
1,лох вихідний їхати роботубо завтикав забрати зарядку форма,8
1,шо інтерес думати шо барабошко Петров уявляти щас ахуєнвони мученик інтригопльотами думати думати крякає мудак мудак,16
0,поняв єдиний вихід вмерти,4
1,боженька підар явно мати зуб,5
0,малина позривай вишній перебирати мама помагати дабуді дабудай,8
1,висновок сьогоднішній день лох,4
1,чубатий пінгвінчик емарь підар,4
0,обіцяти дивитися дурнуваті сонники полізти,5
1,охуєннітю навчатися потребувати відшкодування неправильний відповідь,6
0,поїхати кужась жмеринку махати повітря дихати,6
1,річ уйобіщні понеділок чмо,4
1,знати виїблити дівчина паникуй запросити батьків прогулянка,7
0,шкода орендувати життя людина певний,5
1,хуйнею дивитися побачити табличка іди нахуй,6
1,лох 20 вийти хата включати мп3 розряджена сука,8
1,клас помітити повідомлення проігнорили йти нахуй,6
1,невиїбал найбільше працювати бар видати пиво,6
0,означати мудріші мудрість,3
1,кашин мудак – тип дивний відкри́ти,6
1,любити ніжно ву́хо джанк їбі мати чого́ їбанута подумати тролила чувака колишній,12
1,антикурва настілько безглуздий змогти розпізнати власний діти,7
0,300г домашній вина пляшка іспанський каберне,6
1,наступний ахуєннішна річ побачити життя друз,6
1,робити гівноандроїд день їбеться гівною,5
1,нахуярювати дитина допомогти засвоїти навичка негайно,6
0,принаймні люди,2
0,раптово згадати старий прекрасний,4
1,хлопчик мати найдовший подпізджік невідомий,5
0,фанат заклад точка зір рестораннога бізнес диван,7
0,хороший дівчинка пустити нижній поличку рада,6
0,день ходіння сонце дати адово боліти башка закинути темпалгінчиком,9
0,мовчечки лайкаю страждати любовю фанаткі,5
1,ахуєць подумати мудрий почати говорити жінка,6
1,вкурвить партія комуніст випивку,4
0,переїхати прописалися борщ зварити Інтерне́т швидко провести,7
0,прийти натхнення прийшлий ідея прийти вийти,6
1,напиздив питання потрапити аду,4
0,відключала акумулятор змінити,3
0,23 чиякогот серпень ше стіки назнімати,6
1,робити педосійць білизна поширювати,4
1,враховувати фраза точно мудак,4
0,бачити місяць свалив кухня говорити баба,6
1,засценний морський павук гарний світло побачити,6
1,бгг розказати небуть донєчці лох сльоза течуть7577,7
1,нєхуйствєннє кухар наготує правильно господар викрити їдальня плохому,8
0,зробити вибір можливо всес пан,5
0,кулик пунктик правильний наголос прізвище,5
0,лицем сцена зліва народ сидіти,5
0,радуватися затралєна гусі гегекають,4
1,лице медіалюди сходити космодвіж лох поприбирала поработала стоматолог,8
0,пара розказувати дума Сковорода памятаю,5
1,дивний світ дівчата відпиздять привітання,5
1,алеблях друз ма́ти пара ма́ти друз ма́ти голова,8
0,теплий Львів тиждень Волинь,4
0,генрі яук тіпічний задрот зависає бар нота серйозно,8
1,йобург найкращий спосіб подарування бабуся память мати чоловік,8
1,непроїбись кімната,2
0,гарний ладно спалити,3
0,найсмачніший зефір рошенівський ваговий полежати 34дні підсох нямням,8
1,рижик мудак рижик рідкісний 3,5
1,госпідарка пристрасний гроші віддавати,4
1,ахуїтєльніша присмехування глупостей державний офіціант ахуїтєльніша відчувати жалібно плата,9
1,запахнути блятттом,2
0,3 дно 3ні 3 дно гуд пєкло гуд 10 клас,10
0,пропустити бодегіта зачиняється,3
1,слово заслуговувати місце рідний мова уйобок шо знов наджуйсерив органічно нє,11
1,мудак другий імя,3
0,пю ліки слово жінка хворіти,5
0,телевізор нема дивитися концерт Макс барських,6
1,шкода трошки лох,3
1,сенс підар норма чувак нахил мати,6
1,дівахі 15 виповнитися ночувати хлопець 20 бухає щодня скотина 16 розуміти відстати світ піздєц товаріщі,15
0,москальська компанія альтернатива,3
1,любити любити любити йти нахуй падальше вродь всьоз гатоф 17 пріхаді,11
1,строчиш строчиш довбаний реплай півшляху стираєш іди нахуй взагалі відповідь да́ти,11
1,табле́тка діяти шо хотіти випотрошити чути мудак,7
0,опціонально нічнушці плаття ггг,4
0,завтрашній день різниця час Україна расєєю,6
0,любий головний біль спокійно жила 2 місяць скучити нащо повернутися,10
0,розвиватися хотітися,2
1,вед мудак радіти життя,4
0,перепис тг 826 передивися ідіо́т,5
0,вічно холодно останній часом ліжко залажу прокляття,7
0,квиток Азія витріщалась купило,4
0,юзаю окуляри толку,3
1,афігєнський хлопець проходити дівчина казати виглядати північ захват,8
1,малий заглядує клас кооорааабель лооох влада нема єгіпєт уїхав шо внатурє лох школа шкільнежиття,14
1,підар,1
0,ггг ноу фарерської — дивацька скандинавська мова,7
1,взагалі життя лінія мажино шось строїшстроїти старатися душа вкладати приходити харизматичний уйобок минати набудоване всьо руйнувати,16
1,пересрут батько заробити кошти,4
1,робити дівчина говорити « ви любити ти » довбои кіно,10
1,заходити всрави знайти щастя,4
0,пам ‘ ятаю підготувати ефір,5
0,понеділок жовтень всесвітній день архітектор,5
1,ніхерна ідея проживати притулок бездомний,5
0,всьо бронювати могилку ніч ждати,5
1,зробити пасцаль заблукав найкращий захлопнути знати,6
1,захєрачила настілько придбати новий автомобіль,5
0,сіпає бачити найменший вість фронт назва київський Русь,8
0,хотіти життя стільчиком,3
0,спікер тушкарегіонал віцеспікер свободівець чути весело рада2012,7
1,зємля пухом риба брюхом лох кароч,6
0,ходжа наплічником ноша повно необхідний думка річ,7
1,робити ахуєьба прочитати книга відразу забиратися,6
0,нєзаніма життя вздумай,3
1,реально йобнутий,2
0,писати пост інгліші виглядати елітніше профіль ставати хасламасло,8
0,лінкомзапрошення реєструватися 50 грн кешбеку приходити,6
1,помилятися особистий помилка потурбуюся іди нахуй добродій,7
1,йобартерорист думати заслужують подавлевони,4
0,слухати ранеток ар памятаєте ранетки бест встидно,7
0,відкривати подобатися посилання 4 фоток достатньо,6
1,провокувати питання викликати тваринний захват більший ентузіазм фанати михуїла–іти нахуй гупії гівном мозок,13
0,сумувати дзвінок 1 ніч збиратися хвилина 20,7
1,малий бздюха малий проблема,4
1,звісно охуїв порівняти інтелект залишатися другий місце,7
1,сміти бегбедеру любовьживьоттрігода шо лох ніудачнік,6
1,піти нахуй руснява свинособака,4
1,напиздячив бабуся засмічилася,3
1,афігєнно використовувати макіяжу використовувати бетон малювання,6
0,настрій зірватися поїхати,3
0,баба звучанію твіти розшифровує,4
1,говорити відфігач просити зробити відфігач,5
0,неповнолітній дитина,2
0,аню казати знати місячний,4
1,колонка полагодити йти нахуй банячки,5
1,найулюбленіший твіттерський підар любов реплаїв особливий щасливий здоровий старий день народження,11
0,момент відправляти листівка Львів,4
1,цікаво істота знати уйобок схожий,5
0,прийти зміна бабця безпомилково визначати проститутку наркоман,7
1,зробити виїбуть право жінка використовувати,5
1,драче кішка вставити комар,4
0,скачала битіє хоуп вихідні вистачити,5
1,іти вулиця школярки гукати шанооовний хлопчиииино підарас зупинитися,8
0,розуміти затупив робота виправдовуватися тупиш чйоооорттт,6
1,общій контур пуштун ето жопу їбуть безкоштовно звикнути працювати підори англійський вбитий уйобок,13
0,країна криза салат пересолюють,4
0,нуууу втратити аххха ставлення,4
1,нєєбаццє безбачних люди найкращий світ,5
0,топ май кофту головний герб гаррі поттера вкидав,8
1,попиздути хлопчина забути зачоти дискотека,5
0,висовуватись роль відведений дитинство,4
0,думати заснути,2
1,поебала дівчина магазин покупка безкоштовний,5
0,ліхтар дотягнути трамвай кільце найромантичнішим місце сихова,7
0,гарвард закінчувати Ігор Шевченко однокурсники,5
1,такийтотакийто дартаньян тіки уйобок,4
0,непереможний гном сука шутки зріст,5
1,мама афігєннєйша ракета летіти бистріше звичайний,6
1,вознаїбнем згоден жінка ма́ти доступ ресурс чоловік,7
0,вділи милость – забути ненадовго закон кров іздрик,8
0,фрідману Вакарчук прослизне,3
0,повістка суд прийшлий шо,4
1,охуєває жінка відпочинок мужів,4
0,проводити паралель закон хамураппі руський правда нє дрогнуть даже,9
1,Путін вед уйобок хотіти сумувати померти,6
1,бляяяяяд знати правильно вимовляти імя,5
0,19го їда день поезія Черкаси гутіркою севама гастрольнити починатися гг,10
0,право власниці колекція ділдо вібратор,5
1,підар,1
1,робити дрочить диктанті глупий зрозуміти,5
1,ойпофіг матір відпустити друз,4
1,трапитися дойобуємом поїхати магазин покупив шоколад,6
1,бля мєм тіпа ендрю шлюха,5
0,вчора гуляти впізнати,3
0,мрачная гєйша звісно персиковий нічо́го ящетаю,6
0,розкидати каміння розтрощит голова,4
1,гавнолюдина думати дозволити,3
1,народження пофігістичної дівчинка причина батьки запитувати паспорт дитина,8
1,ахерет виправдання завдання заходити бар друг,6
0,таваріщ нє спєшитє прівлєкать осінь раньше врємєні,7
1,« ти ревнуєш самооцінка низький » йти нахуй,8
1,кольоровий печать звичайний папір 10 гривня блять іти нахуй,9
0,думати чекати відповідь година,4
1,ахірєт відійти відпочинок гааги забути принести гроші подорож,8
1,гірший мудехара мудехари,3
0,дзонить плакати затримка питати робити молитися,6
1,блять обожнюю говорити дотримуватися думка задуматися мудак,7
0,таааа музичка нада,3
0,армійський умова дічь маразм провокація,5
1,Янукович скликати москві пресконференція забувати мудак забувати Віктор,8
1,пофігістичнішим білий жінка приходити безрадості народ дурень пофігістичнішою одежа,9
1,обєбітєль прочитати жарт знати алфавіт,5
1,уйобок селені гомез зраджувати,4
