text_preprocessed,label,len
що діл якщ тві друг натиск бля,1,7
здохн вже і звільн всесвіт своє присутност,1,7
подив на цих люд вон дуж тру зомбак,0,8
ніхєрашечк приїхал до бар і пит бармен а що у тут мен бармен на не подив і відпов ніхєрашечк тут теб ніч нем,1,23
мі бюджет офіційн потрачєн шодєл,0,5
баб мож створит відчутт домашн тепл будьд,0,7
хорош штук ал треб цікав канал познаходит,0,7
от вийдеш за мен заміж і будеш мит ті клят 300м²,0,11
що зробит якщ тві друг переср найкращ поставит йом нов хат,1,11
ну хто мож дзвонит в домофон о 2 ноч не буд встав гост не чека,0,15
же мен вканал що виклвдачк впустил на пар бо виявил пар на 900,0,13
варт вдіт коротк спідниц і вже шлюх курв шо за поколінн поб бог,1,13
що зробит жидовк кол не мож знайт робот повинн зайт до бар і пропонув простуванн,1,15
на зебр не став жертв вод лєксус пеп димінськ,0,9
що робл курв кол вон заснул вон прост курвоооют,1,9
вперш і востанн цьог літ жал спекотн,0,7
пропутінськ мразот рад не дивн розвалит ес це занадт добр мрі 746212545262850048 …,1,13
тільк що зрозуміл що треб поступ на технолог і став шоколат,0,11
що ахуєнніст кращ ніж поїх до психульн почут ваш активніст,1,10
якщ пофігачиш то робит теб ніч не ма значенн,1,9
хм ж шлюх якш з одн чувак спит прост вон стосунк не мают,1,13
якщ посрал в джин то зна що посрал на добр,1,10
баб зна забезпечит ус забезпеченн,0,5
ал блят що сам в том сні ід наху підсвідоміст збочен,1,11
бабц допомож мен з консерваціє завтр,0,6
на менеслов шлюх кращ підходит тимхт говорит ті ж слов і робит ті сам ді різн секс душ не зачіпиш,1,20
любл кол кажут зі зліст в оч шо я їбанут а нє показал ніфіг не любл,1,16
якщ гімнаці могл говорит то вон каз забудьт робот займайт ліжк,1,11
бісит що грунтован двп штиня снєжк,0,6
кароч їд в маршрутц а як підар підб нас йобнул маршрутк помят фар відлетіл ну і тепер йдем пішк,1,19
що зробиш якщ на теб посміхнут довбанутіст прост при це подарунок подару їм привіт підморгунок,1,15
більш ніж обісциш настільк глуп що глупц почуют себ мудріш,1,10
що діл ахрінєєєт кол йог друз йдут до бар залишаєт дом бо не мож зробит вибір між пив протигосударственн діяльніст,1,20
я один спочатк прочит чоловіч попк,0,6
відійшл дохуліон до сусід а йог не прийняв том що прост дурн,1,12
що робит нафігач кол йом нем робот дивит тнт і хоч залиш коментар під всім сері,1,16
йобан житт по сусідств з русне гірш нем,1,8
недовг лишил тоб пизд тупорил,1,5
понятн на чест ког напевн йом дуж запал в серц,0,10
якб мо батьк маг я народил сквіб бо я лох і так,1,12
ну я ше не працю єсліш ал вже скор буд,0,10
дивн в теб передбаченн не зна трактув в мен наприклад писал сук пизду пис курсов с,1,16
там видн небот можн говорит з нежив,0,7
що мен погод підказ що сидіт ден вдом,0,8
знаєш шо ід наху це обідн,1,6
що мен аж рамштайн захотіл послух о,0,7
дивовижн не зна ал я де загубил сві рюкзак в дом аг ну був чьо,0,15
а ну то зрозуміл треб і соб заглянут,0,8
абсолютн підтрим не хоч в школ взагал,0,7
прост лінив а теор сам здал ал перед тим оплатил якщ посилен готув то і водінн можн здат ал дос їд мудак бо ще мал досвід,1,26
в цьом тунел давн мрі побув а то грозненськ верс,0,10
напердохн призна що в житт ніч не досяг,1,8
ід наху,1,2
афігєнєн жінк не розуміют що значит слов інтелект,1,8
приймайт мен так я аб відраз ідіт наху бо змінит мен у одн не вийд,1,15
туман ріш довол гарн палітр кольор на фот вобщ шедевр в теб вийш,0,13
якщ не зможеш дотрах свог партнер можеш замінит йог на принтер,1,11
в мен ще нікол не так насичен графік,0,8
коханн не купиш ні за як грош а ром купиш,0,10
гомосятцтв це поган похмур середовищ люд як не мают ніяк соціальн життєв активност,1,13
сьогодн нарешт їд дод вже скуч за домівк бо вже півтор місяц там не,0,14
ґріну звісн ген ал мудак,1,5
вартувал мен поч твітит і зраз кількіст підписник зменшуєт,0,9
зараз в україн найважливіш говнопост,1,5
хочет насварит на пар люд ал розум що я прост втомил,0,11
що зробил бляяяяя під час повітрян битв відпустил пар,1,9
хул я лох,1,3
тук тук тук стучіт сєрдєчк тук тук тук стучіт і плачєт,0,11
нікол не їжт сир пельмен з хлібчик то так фее,0,10
— на що гот зарад мен — зїст кілогр мяс,0,10
н сказал тоб не суму ал скаж вирішим сумув ефектн,0,10
що більш відїбит тво серц ненавист глуздот,1,7
я буд теб бит моральн робит селфач і готуєт відправл в тг,0,12
вчор вперш за велик проміжок час поговорил без сварок,0,9
хто зна в котр перш маршрутк з шегин в перемишл,0,10
баб найкращ в нас справжн принцес,0,6
а тим час разомфест вже за 3 дні і я друк квитк до львов кажут час летит шлюх з хмарочос,1,20
доїд 2 останн аскорбінк що ще з час кол я хворіл,0,11
дівчат вміл готув сво любим страв,0,6
дівчин навчаєт у школ,0,4
що прикольн пойобиватєл дум що добр ал йог друз використовуют йог пойобиватєл,1,12
буд ласк тільк ха не снят в еротичн снах,0,9
у всесвіт нем меж а у зошит на 12 листочк с мисл велик жен,0,14
ден прожит дарм якш я хоч раз не напиш шо підар і йдіт наху,1,14
якщ у теб проблем з візпиздитт то мабут прост дурен,1,10
о прикольн шутк задохєр що зробит задохєр кол йом потрібн підтримк подзвонит у своїх батьк,1,15
рік корист спочатк мен нерелевантн пропонув тепер норм,0,8
що треб зробит щоб запрост отрим пездак прост посміхн до бездомн кот,1,12
ніщ не вганя в сон так слов пизду блят спат,1,10
скор почн омин люд в як позичал грош бо дос не заробил щоб відд,0,14
нід так не висип по чуж квартир і палатк по палатк можн і своїх,0,14
за вікн ведут палк розмов монаш орден,0,7
сподів там зараз черг на поверненн не 34 годин,0,9
так на стрийськ намальован дітьм підозрю дітьм податківц,0,8
не здаєт що судд явн підарас,1,6
не здив якщ через 10 рок мен попрос видалит з тві бо тві молод,0,14
шо я як лох шо це за проект,1,8
чудак ал ніч я так метод пісн шук,0,8
аа ще прост говориш то мі перш репла,0,8
саш а будеш наш главн гост як зажд будут чек,0,10
думк що завтр в ког буд секс не да спок підор щаслив,0,12
сорок хвилин вже чек на хамон пат так я голодн,0,10
шо з дамаркус бізл чом не гра непоган ніб соккєрплеєр,0,10
що трапил кол жирабаск вийшл з магазин застрял в двер,1,10
такс всмисл сьогодн понеділок по відчутт нач як пятницячетвер,0,9
і мам ярин т спеко надзвивайн смачн пиріг нямн,0,9
в мен на телефон надт багат фоток неб,0,8
зат фільм класн спілберг вмі знім подивил іщ раз,0,9
отїб тво матір не розумієш українськ мов,1,7
дівах ще 15 не виповнил а вже ноч в свог хлопц як 20 і бух щодн скотин мен 16 аб я чог не розум і відстал цьог світ аб це піздєц товаріщ,1,32
народ це пиздознавств настільк велик що вже повніст зайняв всю станц,1,11
на цю курвашкольн відправ подарунок щоб показ сво пристраст пакет з курв,1,12
що робит перд на майдан ніч прост там присутн,1,9
кол душ баж свят фарб червон помад,0,7
знял інтімн віде цьом сво собак ком показ,0,8
скажіт що за мразот ет папірєднік до донєчк добр кров пют жит пацан не дают,1,15
при цьом всьом вованад спит спокійнісіньк,0,6
баб захоплюєт нов реч досягненн своїх внук,0,7
важк що робит якщ не бачиш в цьом ніяк сенс,0,10
посралазїл так що тво друз почул дискомфортн,1,7
що кращ призмихуїзм безглуздост ніч обидв однаков поган,1,8
же люд бомбит тих ког в своєм житт влаштов подивіт там щаслив уйобок бийт йог,1,15
настільк глуп що даж виєбоб теб перевершуют,1,7
місц хорошедиректор мудак,1,3
ма 69 бал з історі українськ культур і смішн і плак хочет нє не хочет ненавіж культур і прєпод підар,1,20
сумн жит однійнавіт їст не хочет готув собіяєшн,0,8
я ж каз шо в твоєм житт тільк один дан а точніш дауніл,0,13
під подушк ніч не вперш так,0,6
ніїб навіщ це потрібн кол не знаєт йог використовув,1,9
усвідом що мо жостк пальон найк притягуют уваг зусібіч,0,9
важлив факт йог пробувал чит і сам том,0,8
виріжіт мен це огидн коханн мерзенн болюч,0,7
всі так оригінальн кол кажет що по відчутт сьогодн у неділ а не субот,0,14
ус нахулєр на світ прост лінив ляльк,1,7
то бер стілец і пизду у куток покаран,1,8
якш я кол захоч напис книжк то пожалу перш буд іскусств проїб аб не унив якш лох,1,17
аа виявляєт це елвіс творінн а я так свят йог приписал омм … отето лох,1,15
засцяв за так студент що не мож навчит за місяц,1,10
а знаєт шо сам пічальн я не зна де мі телефон якш дзвонит то гудк йдут панік не розводж бо ма підозр шо я лох,1,25
що зробит з педосіанств запалюв йог,1,6
мен ніб поїзд переїх втомлен пес,0,6
плюс у музик велик музичн фест де літсцен це так місц щоб посп,0,13
а ще я людинарукиздуп погодж франк і каж що лєв толст мудак,1,12
я соб противн так неприємн відчутт що капец,0,8
всі лолбляд тупіш за пінгвін,1,5
коблядуют жінк в ці країн том що вон не знают що так прав людин,1,14
афігєнчік це прост жахлив заморозк люд з порушен здоров,1,9
ше треб добавит людинуселф людинушпіон а нитік обєдн з депреснячк,0,10
існ легенд шо люд здатн висип,0,6
йее біл церкв анн відкрил ще одн франс нарешт норм кав на ход бит,0,14
що ахрєнєт машин якщ ї не потрібн паливн картк прост почн плак ахрєнєт,1,13
ще я з спрінгрол і салат в пластиков стакан по міст не ходил,0,13
баб ма неймовірн енергетик мотив,0,5
холодн не тільк на двор а у мо душ,0,9
я бач фавит ус де фігуруют слов ху мудак і підор,1,11
ніхрєн знаєш що робит,1,4
ваш ставк я сьогодн промокн під дощ промокн під дощ насквоз,0,11
ввімкн документалк плантагінет і потеч,0,5
що робит бєхєр післ прогулянк повертаєт дод і почин приготув своїх діт дальш прогулянк,1,14
петровн походил до друг щоб спробув нов приготуванн виявил що найобнут,1,11
провтик зупинк пизду сук аж з південн вокзал через пивн шашличн горпляжник на мост,1,14
тимошенк ід наху сук і здохн там6,1,7
взял бо дуж мал квитк лишил 90 вже розібр,0,9
йобнут я тільк кухн закінч ще кімнат ванн і коридор,1,10
а в теб я і 27 мірял нин ал мен не сподоб шо,0,13
якщ не всіпідараєш що я робл то прост дурен,1,9
заїбошил,1,1
ванесс парад сорок депп лох,1,5
стіх грусн осєн переїд на вал котик буд жит в кладовц під сход,0,13
пиздунец,1,1
що зробит мудойоб якщ не мож знайт сво призвищ спробув знайт інш мудойоб,1,13
ідіотк чом реагуєш так на ці ситуаці,1,7
нікол чуєт нікол не купуйт китайськ смартфон,0,7
прекрасн ден я не ма бажанн говорит,0,7
же зна що то жиз а вірит тре в не бач,0,11
тю заводиш тян котр меньш зрост ніж профіт,0,8
я сьогодн вводил тво ім в пункт призначенн на сайт укрзалізниц,0,11
напівжидовк не зна правильн приготув страв,1,6
вез дод чорниц це означ шо мам наварит мен вареник,0,10
певн літ народил мен атлічн підход,0,6
сан щойн сказал шо теб вижен з матрас на коридор і мен до теб теж,0,15
дінахуйбл використовув карт кредитн компані прост брат і купув що не можеш купит за сво грош,1,16
не мудак хорош прост лох а якш серйозн то я сказ ал кращ на люд не буд,1,17
ніч що термін порохобот запущен русне г,0,7
щод піт в пізд олег,1,5
хул втикаєш пизду жит,1,4
девушк приходит до паб і пит можн зробит пабйоб а бармен відповід ні ал можн зробит пабйоб,1,17
кста вчор лох на холодн погод піш в сорочц на коротк рук ал мі вечір врятув поїздк в гуртожиток і пет піджак звідт,1,23
тут я підслухал що у львов де шоп з індійськ штук бомб мо хто чув,0,15
мен груснєньк і ніхт не хоч приїх провід,0,8
що найкращ зробит з подрочіт перевест йог на англійськ мов там йог не зрозуміют,1,14
ніб книжк прост написан і автор в чом наївн а в книз корисн реч,0,14
мен вируб добраніч і ус ус так щоб кожен сво в том вибр,0,13
бляяяяяд не знаєш правильн вимовл сво ім,1,7
ненавидж кол як чмо каж фу можеш слух це реп,0,10
ну то так спочатк доц вдом а пот і дньом с агн не найдеш ту доцю00,0,16
я якраз з тих люд як оч говор що вон ход до терапевт прост через що це так мод і вигадуют соб депресі тривожност і панічн атак так о дорог всі ідіт наху з так прікольчик ідіт наху,1,38
отак робиш з цим людьм революц а пот вон дивл євробаченн,0,11
потрібн вилізт з ліжк ал не хочет,0,7
таваріщ а в ког ще лиш стар твітор я одн лох перед празнік,1,13
піш наху русняв свинособак,1,4
безцицькат не ма друз бо всі бо грубост,1,8
робот дівчин приносит ї задоволенн,0,5
же ш підар,1,3
бігал раділ житт ден а о 19 звалил що встат не мож і не ясн,0,15
сказ шо я в шоц то ніч не сказ,0,9
ахует так люд як не приймают відмінност у,1,8
баб гот допомогт підтримув,0,4
судд не чорт а підар,1,5
що лошоок робит кол йде до дівчин просит прощенн бо повинен піт до батьк попрощ,1,15
у хлеб ест у нас тільк хліб а можн хліб нє йог у нас тож не ма,0,17
мокр волос мі фетиш готов йог мочит кожн півгодин лиш мокр,0,11
виїбал мен і мо наді,1,5
нігерк приходит до магазин і каж дайт мен пачк цигарок і пачк цикорі я хоч зробит з них нігерк,1,19
окейпривітик емар підар,1,3
в мен пост ватно такс так це підар вчор нап на журналістк 1444374146 …,1,14
наступн вихідн бо сьогодн вже по розклад,0,7
портер паб ма показув принаймн у мен на геро дніпр постійн футбол показ,0,13
ахуєва що це чоловік настільк глуп що йог партнерк приховувал йог словник під час екзамен,1,15
я теж і збир грош бо ще ж фінал ліг чемпіон буд,0,12
можн вірит в прибит дитин до дошк обяв мразот чорнорот а зомбак слухают і вір ідіот,1,16
ніяк можеш не пис ал хотітимет,0,6
вважал себ адекватн док в думк не промайнул хул лайкаєш уйобок,1,11
а мен сказал що тільк на вихідн приїд я образ,0,10
власник сказ що редагуванн не буд нікол бо тип тод можн користув цим мудак напис що звичн це тисяч люд ретвітнул а редагуєш то виставляюч туд реклам заклик до чог тип максимум в перш секунд зробл можливіст і то не факт,1,41
ну ясн депрес мужик козл кароч кинул її,0,8
що робит оху на вечірц не дозволя дівчат приєдн,1,9
сво гівнян порад залиш при соб,1,6
дойобуют ус жінк тільк тог щоб заробл грош своїх чоловік,1,10
лт скор буд в києв я лох,1,7
баб – це найсильніш підтримк кол потрібн,0,7
о лол то певн сорт як поган уявля їст,0,9
виявляєт в нас черепах ал хеміч зїв,0,7
україн визн свинособач друг мов тільк післ тог свинособак визнают державн китайськ хінд уйобок261213851048522229190656 …,1,15
тут куп метеликівзлет ус на мен і придуш,0,8
я дуж стомил і хоч спат ал ма продукув це йобан датасет,1,12
сидим придумуєм тем магістрськ мам,0,5
ма смішн фотк з перш лед де дивл на не недолуг анархіст,0,12
це статт на коридор харьковско искусств,0,6
переклад мудак ненавидит жінок,1,4
що найгірш папіздєт найгірш що ще повір у принцип рівноправност,1,10
що діл мордоркниз в бібліотец збир жарт застаріл,1,8
добр ранк україно я знов вдом,0,6
акт громадськ непокор влючил раді на робот,0,7
а ну а то я вже подумал що де вдар і пишеш що я норм,0,15
зараз в ког здійснил мо мрі віт,0,7
заєбічєськ зараз так що хватит дум себ,1,7
ід наху,1,2
порадьт як крут серіал буд ласк 3 твіхелп,0,8
що зробит кол бурштинопиздач намагаєт подарув тоб подарунок прост подару йом подарунок зворотн доставленн,1,14
недотрог дорог як проходит одн без плат,1,7
якщ вхарил до цьог місц значит бажаєш оскаржен,1,8
зайобаност жінк не місц в політиц,1,6
і в категорі « переможец дня » лідир,0,8
блядьпакет навіщ прийшл на робот щоб поїст кав і почит газет,1,11
жит варт лиш тод кол розумієш власн житт © т ґеррітсен асистент,0,12
мен потрібен нормальн пральн порошок,0,5
вирван бо сказ лиш словосполученн а я пит повн текст де це сказан бо якщ в план тог що україн хоч ляг то під путін то під єс то так шльондр зрозуміл що ті хто скач за рф єс,1,39
заїбашил кол навч у школ,1,5
ше підар до тог,1,4
що більш потрібн пиздун два пиздун аб два пиздун,1,9
берем бажаюч запис трив до 30122017 р,0,7
у стел втикаєш не перш годин нов препарат заїб скотин,1,10
а шо рже так ніб не зна що скор правд ним буд,0,12
афігенн дівчин так що при пром ми відмовляєм ваш заявк одн залишаєт смілив,1,13
я сьогодн так поган дівчинк шлюх з вулиц черовн ліхтар іб в свят львівськ неділ безбожн ми вікн як виходит на проїждж частин навпрот гуртожитк притяг погляд студік спокуш коротк шорт араб в кафешц провок бабульок на прокльон,1,38
що робит йоптвоюжм в аудиторі ніч вон прост приход підтримуют нерівност в суспільств,1,13
крут механік в тимошенк охорон батюшк і бабушк тісн кол,0,10
пардоньт в сітроен прогресивн кльов футуристичн дизайн,0,7
на див легк прокинув том ранок автоматичн можн вваж добр,0,10
хочет як комфорт можлив у власн житл,0,7
ойпофіг йог матер так що нікол не відпустит йог до друз,1,11
вноч приход думк і сум ал не сон ніяк не сон,0,11
тест на шлюх ні якш спілкуєш з моїм мужик значит шлюх якш подивил в йог сторон значит шлюх,1,18
мі рік народженн можн прочит ззад наперед р,0,8
подив на сво фот 5місячн давност мда змін ж так,0,10
народ добр дамвжоп прост не існ,1,6
що зробил гомосн з велосипед перетвор на гомосед,1,8
що добр в том що люд з охуєнніт не можут навч вон не потребуют відшкодуванн за неправильн відповід,1,18
дівчин бер участ у шкільн конкурс,0,6
збирал подивит добр і світл кін а пот лягт спат до опівноч хах хахах,0,14
іронічн кол настр говорит а голос зник,0,7
а ні розібрал працю і післ 1509 так що аб тільк час знайш,0,13
впровадженн принцип гендерн рівност допомож жінк досяг своїх ціл,0,9
що зроб батьк кол йог дитин сказал пап я хоч ебалк йог прост поглинув,1,14
а не застар том у шкільн вистав,0,7
помоєм в мен лєн завишен самомнєн і мазохізм і,0,9
скільк місяц том востан бач,0,5
у грі престол тих несторіс представник залізн банк браавос,0,9
брат так добряч заскуч в одес вперш знайш мен в інет і в скайп,0,14
теж так вваж том купил соб декільк чоловіч,0,8
що кажут два пан охуї коронавірус охуїм наш житт повинн так прост,1,12
охуїл що ніхт не хоч з тоб розмовл,1,8
а роздав інет з телефон нікол так не робил,0,9
що трапил з дойобуєм кол поїх у магазин покуп всі шоколадк,1,11
інод хочет затвітит шо охуєнн розумн і жизнєнн ал не виходит сформулюв думк взагал ідіт наху,1,16
україн волод 87 світов запас жарт мемасик мертв,0,8
абаср прийшл до тог що прост нем ніч хорош в житт,1,11
зассал пан на річк а пот почал плав назустріч плот,1,10
що педосяч ма загальн з пастк вон обо гарн прикривают проблем,1,11
настільк лошит що паразит відчувают себ некомфортн,1,7
що кажут мордокнижк кол відкривают о бож це жахлив плачут,1,10
що працю пездуюч працю з панд,1,6
аб прост йдіт наху,1,4
ще розумн шльондр атат,1,4
одн ж істор повторяєт їбанут сусідк прокидаєтьсящоб по реж жерт о 6 ранк і ляг знов спат бо ніх на пар не йде,1,23
що робит патрахайт кол йог прос вид документ переверт,1,9
я так сам називаєт тижвізажист здиву мен,0,7
хоч одягнут красив і піт навалит глінтвейн це осін і фелікс австр,0,12
вкраден не мислиш тепер своїм мізк,0,6
кол нік виговорит розмовля зі стін,0,6
у медіаблядот нем мозк там тільк дурн думк,1,8
тоб показ мі вибір бо мен в моїх опитуванн нє аб то я лох,1,14
що не знаєш що так вигляд що прост обдурен,1,9
нахуяріл жінк що прийшл до доктор і пит доктор чом я так несчасн а доктор відпов том що нахуяріл,1,19
пап каж у мен так відчутт що ми ол не у львів а у хогвортс везем,0,16
хто вже на робот добр ранк,0,6
навч сам соб готув мудак,1,5
альон куп соб пристойн гаманец позоріщ,0,6
а мен бісит я з сам дитинств нат і прост взагал не асоцію себ з наташ,0,16
що в україн охуїнн заборон голосув,1,6
порізал піднебінн знак що пор стулит пельк,0,7
братішк лох земл тоб пух,1,5
якщ охєрел то дум потребуєш похорон,1,6
що за гімносховищ тут не можн пянут,1,7
а в результат сиж сам і вчу патан сумн реалі студентамедик,0,11
охреніт тих хто говорит що жінк не справедлив обраховуют у суспільств,1,11
аб навч слух аб прост йди наху,1,7
тур до друз у як ще не вимкнул вк щоб почистит спам в коментар,0,14
не щоб прост розум що бал треб,0,7
аб в мен занадт весел йобнут натр і я ржу кін над ус що норм післ зрив аб почин лояльн ставит до новеньк,1,23
погод шо робиш де наш тепл осін,0,7
а я лох у як щодн перш пар аб друг абліхчєн,1,11
не забувайт що жінк з охуїтєльн ваг не можут летіт,1,10
я з грусніньк пісен перейшл на рок не ясн ал так вийшл,0,12
якщ мам бучаєбучал то не мал так гадк діт,1,9
вперш бач тві акк ал багат ретвітиш і мен то трішк драт,0,12
я ніб і не ма працюв так багат ал працю шо за,0,12
сам том збира манатк і пизду до них,1,8
то ми ущєрбн спитал я напевн сказ викладач і проор,0,10
ал насправд удач тоб я в теб вір,0,8
як чувак два дні том нагад мен в репла пісн ром ром роман і я блят ціл ранок мугик скотин,1,20
взагал ніц не розум шо праісходит,0,6
всі люд охеріл ал тво мам охеріл найбільш,1,8
що зробит якщ у виникл проблем і нижнямордяк не працю прост запитайт в батьк,1,14
відчув себ трох здібн і трох менш криворучк,0,8
на монмартр прям під базилік рясн зап трав бог хоч щоб ми курил,0,13
рівен володінн англійськ зна 6 варіант переклад слов шлюх,1,9
в мен зараз тепл одяг пальт шалик ал морозит схожес,0,10
оц потрох приходит усвідомленн минул дня аналіз помилок головн похибк що я їбанут,1,13
капелюшок за 13к йдіт наху кращ буд в пальт і шапц з пумпон,1,13
одяг хотіл одіт мам а дуж прот,0,7
добр гудвін суперхакер намут мен ще трошк голоск так мал перемог в мен,0,13
сьогодн в мен деньексперимент в кінц роб дня розкаж,0,9
а толк з тог що світанок відбув о 612,0,9
кол говорил з це сказ в двох слов що поппер мудак в том ес в двох слов поппер мудак,1,19
взагал шкод що мог мізерн списк прочитан нем в електронн вигляд,0,11
олен в образ дівчин відом класичн приклад живопис,0,8
будьяк старанн студентзаочник я не зробил ні жодногоз куп заданогозавданн,0,10
хештег невлізловодинтвіт отакіж азадеревомдерев валєравалєр,0,5
що найкращ робит з нееб забир йог з вод,1,9
сподів мен не доведет чек рік,0,6
що робит пиздуйм в автобус пасажир прос йог висадит,1,9
ми ще не виик бо посуд не купил відчув це буд наступн ва ефект,0,14
що так якщ гімнолатешечк президент то не вміл прочит сво промов,1,11
жінк як працюют у відом експерт у сво галуз,0,9
тре і соб так купит а то лох різ стругачк,1,10
мен знял брекет сумнівн атракціон поверніт а,0,7
хочет завантажит себ робот по сам не хоч,0,8
1984 1863 голод нє тьотк жит захочєш і нє так раскарячіш шарік підтвердж щі всих сил що шльондр,1,18
ахуітєльн що люд з алергіє до піск не можут піт на пляж,1,12
під бк взагал найгірш секс в житт сук фільм зіпсув уйобок,1,11
нітакаясрусн що жінк віддал друг своє половинк за що забув принест ї подарунок на ден зустріч,1,16
забавн що лошк не мают ніяк прав так що вон довг не живут,1,13
пс твіттер хто з зна художник аб сам малю напишіт в дм одн справ,0,14
ще раноо так каз хто приходитьхт йде гетьвічн теч,0,9
некуй приніс до дівчин квіт і запрос до свадібн вечірк дівчин відповіл не мож бо я прийм тільк грош в подарунок,1,21
якщ гівнюк працю в банк то буд працюв на нул процент,1,11
хух ал ж в теб не практик дифрівнян,0,8
час замислю що всі навкол мудак а добр люд і не лишил зовс ал пот згад що я і сам мудак і ста як легш,1,25
у нас лиш одн питанняшампанськ вин,0,6
насолодж свіж повітр мятн цукерк спів солов ідеальн,0,8
завел люд в забит сел гмил і встановил скайп,0,9
ахуїваєт мам просит дочк принест ї пив,1,7
а і керамічн форм пергамент вистеляєш мен так з фот здал,0,11
настільк остопизділ що даж цукр ват теб занадт швидк,1,9
вздрюч до тог щоб дівчат перест говорит,1,7
ну том сам вин я з себ відповідальніст знім,0,9
виявляєт хз мож розшифровув не лиш « хто зна » ал і « хоч знат »,0,16
андж якщ це що я дум то тоб кращ хов,0,10
що я зовс не зібран мен завтр їх а я не чух,0,12
втом мал слов погрубш я трох ще завтр пережит і тижден спок,0,12
статт 24 канєшн всі ми рівн ал деяк трох рівніш,0,10
можн ваш номер телефон піш наху я інтроверт,1,8
оооохтижблив чоловік прийм наслідств своє жінк багатств і протирічност,1,9
звідк в адміністраці так дан цікав ал сказ повернут 300р подивим,0,11
бабус знаєш полегшит ситуац,0,4
якщ йог не буд у бюр знахідок що малоймовірн то я візьм вимушен творч перер,0,15
блін так і знал шо то я туп перед тоб виходил,0,11
це політик обоссан і відхилен широк громадськ міст,1,8
ех щазб назв сві гурт одиннаодин і виступ в форсаж,0,10
ще з буряк і якщ кабачков я ще мож уявит бо варенн то буряковийн,0,14
це підар себ так міт наприклад на пляж хто плав в плавк підар сорочк підар обтягуюч штан підар,1,18
це дивн що деяк люд витрачают сві час на писанн гівноблог,1,11
я не сказал багат наш люд повертаюч закордон іноземц піднімают що руськ дуж похмур і не посміхают а кол йдеш а тоб на зустріч усміхнен людин то і підсвідом настр кращ особлив якщ не одн і це норм ну і не мудак,1,42
я звісн вирвал з контекст довол адекватн ал ацк смішн,0,10
що каж попідарськ кол йог викинул з бар а каж щаслив дорог придурк,1,13
сороков твіт ненавист пишувитир пишувитир занадт ми толерантн євромайдан,0,9
дозвол соб нагадатищ раніш янукович обіцяв європосл підпис угод з єс,0,11
це ден в історі — ден нездійснен інтерв,0,8
0 я то лох одн і ті ж грабл,1,9
вихуїл з ус що зроб ал не вихуїл з тог що не зробив,1,13
то незручн момент кол мудак в зон метров доступност ал прийш з твоїм друз,1,14
зат тепер не буд ріл лох сто 40мін під єбуч дерев,1,11
садомазохизм щоденн робот на садов дільниц,0,6
капєцневж так погод ки виріш переплюнут львів,0,7
виступ кол перед дітьм їм поху них лох без айфон 130 буд теб слух,1,14
всі жінк заслужил респект уваг,0,5
якб не позадовбув то могл кращ,1,6
що робл дво курвупц в ліжк стрибают з бік на бік,1,11
прибер з нік львівськ не ганьб міст – напис українец піш наху кацап,1,13
на телефон куп скрін з усяк милощ з переписок баб баб,0,11
пок що позич в пріоритет прост брат,0,7
що подібн до тог що мудачит на дороз жінк з велик ніс,1,12
перш ноч пор добр ноч мо кохан,0,7
полах жарт кол вічн покерфейсс,0,5
що мтвговн зробит кол закінчил пальн і дрібниц прост поїх до ближн магазин і пошук пальн мтвговн,1,17
у теб мразот що з фоточк ідол не то встава хуєс бо в міхуйл їбл скор лусн рятуйт ожирінн кабан,1,20
у мен відпустк а я лох том теж не сплю,1,10
в мен за 4 рок колекціонуванн пісен лиш там не набрал,0,11
синхронізув хром на телефоніб шо я тупл,0,7
минул хуйов горит я прост не подумал що так мал річ даст стільк дим памп в ванн кімнат оч печут гол ал смочк енн пляшк пив і вже кращ я ця скотин так і не згоріл,1,36
що за див кол користувач забув натиснут похул прост не мож контролюв сво поступк,1,14
що за блятьдебігомзнайт так що мам прийшл до дитин в школ з подарунк і залишил йог в аудиторі ніч тільк хотіл показ своїм учн вигляд блятьдебігомзнайт,1,26
фирк що йог охомут зібрал і заміж вже хочеш мен то так,0,12
зелен підарас с 4,1,4
що зробиш якщ поср поїх в кін не паніку прост посра,1,11
думал це тік баб через штанг можут переступ нонєт як мудак двіч через мо переступ і я чуток залажал останн підхід,1,21
